# matrix=msc10848
# rows=10848
# nnz_total=620313
# nnz_per_row=57.1822
P,iter,rank,comm_us,comp_us,total_us,gflops,nnz
16,8,0,47.6837158203125,56.2667846679688,103.950500488281,11.9347765924404,620313
16,9,0,47.6837158203125,55.5515289306641,103.235244750977,12.0174655757598,620313
16,0,1,48.6373901367188,59.3662261962891,108.003616333008,11.4868931441589,620313
16,1,1,46.9684600830078,58.4125518798828,105.381011962891,11.7727660504615,620313
16,2,1,49.591064453125,57.6972961425781,107.288360595703,11.5634724317867,620313
16,3,1,52.2136688232422,56.9820404052734,109.195709228516,11.3614903805764,620313
16,4,1,45.7763671875,65.0882720947266,110.864639282227,11.1904571920516,620313
16,5,1,61.5119934082031,57.220458984375,118.732452392578,10.4489208720964,620313
16,6,1,45.7763671875,57.4588775634766,103.235244750977,12.0174655757598,620313
16,7,1,48.8758087158203,56.5052032470703,105.381011962891,11.7727660504615,620313
16,8,1,45.7763671875,57.220458984375,102.996826171875,12.0452837831111,620313
16,9,1,46.7300415039062,57.220458984375,103.950500488281,11.9347765924404,620313
16,0,2,43.1537628173828,57.9357147216797,101.089477539062,12.2725532884528,620313
16,1,2,48.6373901367188,57.9357147216797,106.573104858398,11.6410796293154,620313
16,2,2,49.8294830322266,57.6972961425781,107.526779174805,11.5378328033348,620313
16,3,2,46.7300415039062,57.220458984375,103.950500488281,11.9347765924404,620313
16,4,2,51.4984130859375,62.4656677246094,113.964080810547,10.8861142140251,620313
16,5,2,60.3199005126953,56.0283660888672,116.348266601562,10.663038103082,620313
16,6,2,50.3063201904297,55.7899475097656,106.096267700195,11.6933990883236,620313
16,7,2,52.4520874023438,56.5052032470703,108.957290649414,11.3863514098556,620313
16,8,2,48.1605529785156,56.0283660888672,104.188919067383,11.9074658908558,620313
16,9,2,48.6373901367188,56.5052032470703,105.142593383789,11.7994616650884,620313
16,0,3,52.9289245605469,58.8893890380859,111.818313598633,11.0950161925458,620313
16,1,3,50.7831573486328,58.4125518798828,109.195709228516,11.3614903805764,620313
16,2,3,50.5447387695312,57.6972961425781,108.242034912109,11.4615916174097,620313
16,3,3,50.7831573486328,57.4588775634766,108.242034912109,11.4615916174097,620313
16,4,3,49.3526458740234,64.3730163574219,113.725662231445,10.9089362564025,620313
16,5,3,61.5119934082031,56.9820404052734,118.494033813477,10.4699448577545,620313
16,6,3,48.3989715576172,56.9820404052734,105.381011962891,11.7727660504615,620313
16,7,3,53.1673431396484,56.7436218261719,109.91096496582,11.2875544344989,620313
16,8,3,49.8294830322266,56.9820404052734,106.8115234375,11.6150950765714,620313
16,9,3,51.2599945068359,56.9820404052734,108.242034912109,11.4615916174097,620313
16,0,4,45.5379486083984,58.1741333007812,103.71208190918,11.962212860469,620313
16,1,4,47.9221343994141,58.4125518798828,106.334686279297,11.6671807047175,620313
16,2,4,48.8758087158203,57.220458984375,106.096267700195,11.6933990883236,620313
16,3,4,50.5447387695312,57.4588775634766,108.003616333008,11.4868931441589,620313
16,4,4,53.1673431396484,61.9888305664062,115.156173706055,10.7734215202981,620313
16,5,4,56.0283660888672,56.9820404052734,113.010406494141,10.9779801567595,620313
16,6,4,53.1673431396484,56.5052032470703,109.672546386719,11.312092596313,620313
16,7,4,53.6441802978516,56.2667846679688,109.91096496582,11.2875544344989,620313
16,8,4,46.7300415039062,56.9820404052734,103.71208190918,11.962212860469,620313
16,9,4,49.8294830322266,56.2667846679688,106.096267700195,11.6933990883236,620313
16,0,5,53.1673431396484,59.8430633544922,113.010406494141,10.9779801567595,620313
16,1,5,52.9289245605469,58.1741333007812,111.103057861328,11.1664433354163,620313
16,2,5,52.2136688232422,56.9820404052734,109.195709228516,11.3614903805764,620313
16,3,5,52.4520874023438,57.6972961425781,110.149383544922,11.2631224984935,620313
16,4,5,53.6441802978516,63.1809234619141,116.825103759766,10.6195154985796,620313
16,5,5,59.1278076171875,57.220458984375,116.348266601562,10.663038103082,620313
16,6,5,52.9289245605469,56.9820404052734,109.91096496582,11.2875544344989,620313
16,7,5,55.0746917724609,56.7436218261719,111.818313598633,11.0950161925458,620313
16,8,5,50.3063201904297,56.2667846679688,106.573104858398,11.6410796293154,620313
16,9,5,53.6441802978516,57.220458984375,110.864639282227,11.1904571920516,620313
16,0,6,55.7899475097656,56.9820404052734,112.771987915039,11.0011894171332,620313
16,1,6,49.591064453125,57.220458984375,106.8115234375,11.6150950765714,620313
16,2,6,47.2068786621094,56.5052032470703,103.71208190918,11.962212860469,620313
16,3,6,49.591064453125,56.0283660888672,105.619430541992,11.7461909577968,620313
16,4,6,47.9221343994141,62.4656677246094,110.387802124023,11.2387961000086,620313
16,5,6,66.7572021484375,58.1741333007812,124.931335449219,9.93046296622901,620313
16,6,6,48.8758087158203,56.7436218261719,105.619430541992,11.7461909577968,620313
16,7,6,49.3526458740234,57.220458984375,106.573104858398,11.6410796293154,620313
16,8,6,50.7831573486328,57.220458984375,108.003616333008,11.4868931441589,620313
16,9,6,48.8758087158203,57.220458984375,106.096267700195,11.6933990883236,620313
16,0,7,51.2599945068359,56.9820404052734,108.242034912109,11.4615916174097,620313
